section,id,name,missing_in_spa,extra_in_spa,spa_rendered,static_exists,appearances_spa,appearances_static,artist_links_spa,artist_links_static,bandcamp_spa,bandcamp_static,bio_spa,bio_static,body_chars_spa,body_chars_static,desc_spa,desc_static,editions_spa,editions_static,faq_qa_spa,faq_qa_static,festival_links_spa,festival_links_static,instagram_spa,instagram_static,lineup_spa,lineup_static,official_link_spa,official_link_static,past_lineup_spa,past_lineup_static,related_spa,related_static,soundcloud_spa,soundcloud_static,summary_spa,summary_static,tags_spa,tags_static
festival,snow-machine-japan,Snow Machine Japan,5,0,True,True,,,0,0,,,,,,,,,0,1,0,2,,,0,1,0,0,1,1,0,0,0,0,,,0,1,,
festival,waifu,WAIFU,10,1,True,True,,,7,6,,,,,,,,,0,1,0,3,,,0,1,7,7,1,1,0,0,0,4,,,0,1,,
festival,arch,ARCH,11,1,True,True,,,15,14,,,,,,,,,0,1,0,3,,,0,1,15,15,0,0,0,0,0,5,,,0,1,,
festival,rainbow-disco-club,Rainbow Disco Club,12,5,True,True,,,19,14,,,,,,,,,0,1,0,3,,,0,1,19,19,1,1,0,0,0,6,,,0,1,,
festival,ala,ALA,11,3,True,True,,,12,10,,,,,,,,,0,1,0,4,,,0,1,12,12,2,1,0,0,0,4,,,0,1,,
festival,osukinidouzo,Osukinidouzo,5,0,True,True,,,0,0,,,,,,,,,0,1,0,2,,,0,1,0,0,0,0,0,0,0,0,,,0,1,,
festival,transcendence,Transcendence,11,10,True,True,,,12,2,,,,,,,,,0,1,0,3,,,0,1,12,12,1,1,0,0,0,5,,,0,1,,
festival,99flags,99flags,13,13,True,True,,,13,1,,,,,,,,,0,1,0,4,,,0,1,13,13,2,1,0,0,0,6,,,0,1,,
festival,the-star-festival,THE STAR FESTIVAL,10,16,True,True,,,15,0,,,,,,,,,0,1,0,4,,,0,1,15,15,2,1,0,0,0,3,,,0,1,,
festival,paramount,PARAMOUNT,14,8,True,True,,,9,2,,,,,,,,,0,1,0,4,,,1,4,9,9,2,1,0,0,0,5,,,0,1,,
festival,letus-music-camp,Letus Music Camp,8,1,True,True,,,0,0,,,,,,,,,0,1,0,3,,,0,1,0,0,1,0,0,0,0,2,,,0,1,,
festival,matricaria,MATRICARIA,8,3,True,True,,,21,19,,,,,,,,,0,1,0,4,,,0,1,21,21,2,1,0,0,0,1,,,0,1,,
festival,link-open-air,Link Open Air,5,0,True,True,,,0,0,,,,,,,,,0,1,0,2,,,0,0,0,0,0,0,0,0,0,1,,,0,1,,
festival,japonism,JAPONISM,4,0,True,True,,,0,0,,,,,,,,,0,1,0,2,,,0,0,0,0,0,0,0,0,0,0,,,0,1,,
festival,goj-ichi-festival,Gojū-Ichi Festival,10,0,True,True,,,0,0,,,,,,,,,0,1,0,2,,,0,0,0,0,0,0,0,0,0,6,,,0,1,,
festival,festival-fruezinho,FESTIVAL FRUEZINHO,10,0,True,True,,,0,0,,,,,,,,,0,1,0,2,,,0,0,0,0,0,0,0,0,0,6,,,0,1,,
festival,dots,Dots,8,0,True,True,,,0,0,,,,,,,,,0,1,0,2,,,0,0,0,0,0,0,0,0,0,4,,,0,1,,
